
都道府県    軽乗用車保有台数	軽乗用車比率	軽乗用車比率順位	軽貨物車保有台数	軽貨物車比率	軽自動車保有台数合計	軽自動車保有台数順位	登録車保有台数	登録車保有台数順位	全自動車保有台数	軽自動車シェア	軽自動車シェア順位
北海道	905,715	77.6	2	261,286	22.4	1,167,001	6	2,461,093	5	3,628,094	32.2	45
青森	320,880	70.5	32	134,399	29.5	455,279	32	522,257	29	977,536	46.6	19
岩手	313,142	68.4	41	144,516	31.6	457,658	31	539,448	27	997,106	45.9	23
宮城	464,250	74.3	14	160,988	25.7	625,238	22	1,010,878	15	1,636,116	38.2	37
秋田	247,275	66.8	45	122,661	33.2	369,936	37	416,345	37	786,281	47.0	18
山形	284,898	69.3	37	126,152	30.7	411,050	34	494,535	32	905,585	45.4	24
福島	457,007	69.5	34	200,197	30.5	657,204	20	934,860	19	1,592,064	41.3	31
茨城	668,907	71.3	29	268,995	28.7	937,902	10	1,589,386	11	2,527,288	37.1	39
栃木	451,531	73.6	15	161,594	26.4	613,125	23	1,050,505	12	1,663,630	36.9	40
群馬	508,978	72.8	20	189,901	27.2	698,879	16	1,036,958	13	1,735,837	40.3	34
埼玉	1,027,812	76.5	7	315,208	23.5	1,343,020	3	2,596,365	4	3,939,385	34.1	41
千葉	859,894	73.0	18	317,513	27.0	1,177,407	4	2,344,271	7	3,521,678	33.4	42
東京	525,828	63.7	47	300,088	36.3	825,916	13	3,111,906	2	3,937,822	21.0	47
神奈川	707,724	71.8	28	278,266	28.2	985,990	9	2,724,723	3	3,710,713	26.6	46
山梨	226,086	67.5	43	108,847	32.5	334,933	42	394,562	39	729,495	45.9	22
新潟	615,093	74.4	13	211,464	25.6	826,557	12	956,772	18	1,783,329	46.3	20
富山	283,553	77.1	3	84,396	22.9	367,949	38	511,222	30	879,171	41.9	30
石川	272,941	76.5	6	83,640	23.5	356,581	39	537,535	28	894,116	39.9	36
長野	575,758	65.5	46	302,861	34.5	878,619	11	959,357	17	1,837,976	47.8	16
福井	207,859	72.4	25	79,188	27.6	287,047	46	367,497	41	654,544	43.9	27
岐阜	499,231	74.5	12	171,214	25.5	670,445	18	963,782	16	1,634,227	41.0	33
静岡	892,872	76.6	5	273,029	23.4	1,165,901	7	1,598,269	10	2,764,170	42.2	29
愛知	1,291,738	78.5	1	354,054	21.5	1,645,792	1	3,438,152	1	5,083,944	32.4	44
三重	471,180	72.6	22	177,665	27.4	648,845	21	821,253	20	1,470,098	44.1	26
滋賀	345,823	75.0	10	115,400	25.0	461,223	30	543,283	26	1,004,506	45.9	21
京都	364,978	71.2	30	147,579	28.8	512,557	26	761,832	22	1,274,389	40.2	35
大阪	831,855	70.9	31	341,206	29.1	1,173,061	5	2,374,360	6	3,547,421	33.1	43
奈良	262,224	74.9	11	87,843	25.1	350,067	40	452,586	35	802,653	43.6	28
和歌山	271,191	69.4	36	119,445	30.6	390,636	35	331,693	42	722,329	54.1	4
兵庫	785,501	72.5	23	297,282	27.5	1,082,783	8	1,793,958	9	2,876,741	37.6	38
鳥取	164,952	68.7	40	75,290	31.3	240,242	47	216,269	47	456,511	52.6	7
島根	198,058	68.8	39	89,837	31.2	287,895	45	253,807	45	541,702	53.1	5
岡山	524,512	72.7	21	197,114	27.3	721,626	15	773,162	21	1,494,788	48.3	15
広島	614,459	75.2	9	202,120	24.8	816,579	14	1,014,095	14	1,830,674	44.6	25
山口	362,560	73.5	16	130,845	26.5	493,405	28	545,768	25	1,039,173	47.5	17
徳島	206,732	69.5	35	90,759	30.5	297,491	44	302,913	44	600,404	49.5	11
香川	273,280	72.9	19	101,349	27.1	374,629	36	388,057	40	762,686	49.1	13
愛媛	363,381	70.4	33	152,554	29.6	515,935	25	472,731	33	988,666	52.2	8
高知	200,899	67.1	44	98,513	32.9	299,412	43	241,441	46	540,853	55.4	1
福岡	1,023,779	76.1	8	321,118	23.9	1,344,897	2	1,918,029	8	3,262,926	41.2	32
佐賀	247,634	73.4	17	89,604	26.6	337,238	41	322,114	43	659,352	51.1	10
長崎	362,886	72.5	24	137,557	27.5	500,443	27	407,637	38	908,080	55.1	2
熊本	473,792	72.0	26	184,502	28.0	658,294	19	694,418	23	1,352,712	48.7	14
大分	317,291	71.8	27	124,530	28.2	441,821	33	455,255	34	897,076	49.3	12
宮崎	325,207	69.0	38	146,267	31.0	471,474	29	437,814	36	909,288	51.9	9
鹿児島	467,407	67.8	42	221,792	32.2	689,199	17	617,237	24	1,306,436	52.8	6
沖縄	459,625	76.8	4	138,653	23.2	598,278	24	505,024	31	1,103,302	54.2	3

